-11.29 66.5347 -0.0318
-9.88 68.713 -0.0279
-8.47 70.5467 -0.0238
-7.06 72.0622 -0.0195
-5.65 73.2791 -0.0148
-4.24 74.2123 -0.0097
-2.82 74.8759 -0.0046
-1.41 75.268 0.0003
0 75.3982 0.0052
1.41 75.268 0.0102
2.82 74.8759 0.0149
4.24 74.2123 0.0195
5.65 73.2791 0.0243
7.06 72.0622 0.0289
8.47 70.5467 0.033
9.88 68.713 0.0367
11.29 66.5347 0.04
12.71 63.9571 0.0426
14.12 60.9684 0.0446
15.53 57.4851 0.0464
16.94 53.4104 0.0477
18.35 48.596 0.0486
19.76 42.7929 0.0488
21.18 35.4607 0.0483
22.59 25.4628 0.0473
24 0 0.046
22.59 -25.4628 0.0443
21.18 -35.4607 0.0422
19.76 -42.7929 0.04
18.35 -48.596 0.0374
16.94 -53.4104 0.0345
15.53 -57.4851 0.0311
14.12 -60.9684 0.0276
12.71 -63.9571 0.0237
11.29 -66.5347 0.0199
9.88 -68.713 0.016
8.47 -70.5467 0.0117
7.06 -72.0622 0.0072
5.65 -73.2791 0.0024
4.24 -74.2123 -0.0026
2.82 -74.8759 -0.0076
1.41 -75.268 -0.0123
0 -75.3982 -0.0168
-1.41 -75.268 -0.0211
-2.82 -74.8759 -0.0252
-4.24 -74.2123 -0.0292
-5.65 -73.2791 -0.0333
-7.06 -72.0622 -0.0372
-8.47 -70.5467 -0.0408
-9.88 -68.713 -0.044
-11.29 -66.5347 -0.047
-12.71 -63.9571 -0.0494
-14.12 -60.9684 -0.0515
-15.53 -57.4851 -0.0534
-16.94 -53.4104 -0.0551
-18.35 -48.596 -0.0564
-19.76 -42.7929 -0.0573
-21.18 -35.4607 -0.0575
-22.59 -25.4628 -0.0575
-24 -0 -0.057
-24 -0 -0.0555
-24 0 -0.0566
-22.59 30.5553 -0.0547
-21.18 42.5529 -0.0522
-19.76 51.3514 -0.0495
-18.35 58.3152 -0.0461
-16.94 64.0925 -0.0426
-15.53 68.9821 -0.0389
-14.12 73.1621 -0.0345
-12.71 76.7486 -0.03
-11.29 79.8417 -0.0257
-9.88 82.4556 -0.0214
-8.47 84.656 -0.0167
-7.06 86.4746 -0.0123
-5.65 87.9349 -0.0081
-4.24 89.0547 -0.0037
-2.82 89.8511 0.0009
-1.41 90.3216 0.0054
0 90.4779 0.0098
1.41 90.3216 0.014
2.82 89.8511 0.0183
4.24 89.0547 0.0225
5.65 87.9349 0.0261
7.06 86.4746 0.0294
8.47 84.656 0.0325
9.88 82.4556 0.0357
11.29 79.8417 0.0385
12.71 76.7486 0.0409
14.12 73.1621 0.0431
15.53 68.9821 0.0451
16.94 64.0925 0.0463
18.35 58.3152 0.047
19.76 51.3514 0.0475
21.18 42.5529 0.0476
22.59 30.5553 0.047
24 0 0.0461
22.59 -30.5553 0.0447
21.18 -42.5529 0.0426
19.76 -51.3514 0.0404
18.35 -58.3152 0.0373
16.94 -64.0925 0.0342
15.53 -68.9821 0.0307
14.12 -73.1621 0.0265
12.71 -76.7486 0.0221
11.29 -79.8417 0.0179
9.88 -82.4556 0.0135
8.47 -84.656 0.0086
7.06 -86.4746 0.0038
5.65 -87.9349 -0.0007
4.24 -89.0547 -0.0053
2.82 -89.8511 -0.0104
1.41 -90.3216 -0.0155
0 -90.4779 -0.0202
-1.41 -90.3216 -0.0247
-2.82 -89.8511 -0.0293
-4.24 -89.0547 -0.0336
-5.65 -87.9349 -0.0372
-7.06 -86.4746 -0.0405
-8.47 -84.656 -0.0437
-9.88 -82.4556 -0.047
-11.29 -79.8417 -0.0499
-12.71 -76.7486 -0.0523
-14.12 -73.1621 -0.0544
-15.53 -68.9821 -0.0564
-16.94 -64.0925 -0.0577
-18.35 -58.3152 -0.0582
-19.76 -51.3514 -0.0585
-21.18 -42.5529 -0.0585
-22.59 -30.5553 -0.0579
-24 -0 -0.0572
-24 -0 -0.0566
-24 0 -0.0636
-22.59 35.6479 -0.0612
-21.18 49.645 -0.0589
